global_step,training/rollout_reward_mean,episode/length,episode/sum_reward,episode/reward/wholebody_hand_clearance,episode/reward/wholebody_arm_clearance,training/v_loss,training/policy_loss,training/entropy_loss,training/sps,rollout/completed_episodes,rollout/done_rate,rollout/termination_step_rate,rollout/timeout_step_rate,rollout/episodes,rollout/termination_rate,rollout/timeout_rate,rollout/pfid/37/episodes,rollout/pfid/37/termination_rate,rollout/pfid/37/timeout_rate,rollout/pfid/38/episodes,rollout/pfid/38/termination_rate,rollout/pfid/38/timeout_rate
1020264448,0.3261404037475586,794.629,260.22369094359874,-13.112676412193105,-0.2078994095765357,0.07353478670120239,-0.002012810204178095,-0.020415762439370155,87828.44101880313,1396494.0,0.001368756897035385,0.0005484979909836082,0.0008202589060517769,1435.245632065776,0.39853894554754904,0.601461054452451,81.54573484069887,0.9800826592231087,0.01991734077689142,53.80678314491264,0.6410886532431429,0.35891134675685704
1021313024,0.32518383860588074,777.86,252.46240478157625,-13.366404834591783,-0.16063498939026266,0.07248327136039734,-0.0019497498869895935,-0.020098255947232246,87478.71082694334,1397887.0,0.0013687155329960817,0.0005484391042094456,0.0008202764287866362,1435.2022587268993,0.39850934259648707,0.6014906574035129,81.53798767967146,0.9800753597505725,0.019924640249427493,53.79260780287474,0.6408667963096285,0.35913320369037155
1022361600,0.3247302770614624,771.933,253.56748701321985,-13.12684354288876,-0.17394593647280152,0.07700744271278381,-0.0011969995684921741,-0.019950352609157562,87495.75553793236,1399372.0,0.0013687642415364583,0.0005484263102213542,0.0008203379313151041,1435.2533333333333,0.3984887701204406,0.6015112298795594,81.52923076923076,0.9800817454019699,0.01991825459803012,53.78564102564103,0.6405804735725515,0.3594195264274485
1023410176,0.3248412609100342,728.79,238.84650077262754,-12.937259117268956,-0.1915866604098866,0.08343704789876938,-0.002215638756752014,-0.019727444276213646,87385.05918663769,1400745.0,0.0013687034122279434,0.0005484125653251273,0.000820290846902816,1435.189549180328,0.39849912416643346,0.6015008758335664,81.5061475409836,0.9800674215797499,0.019932578420250115,53.782786885245905,0.6402254911683366,0.3597745088316634
1024458752,0.32534241676330566,742.499,242.16228981255927,-14.428633706592024,-0.19018662103873327,0.08090366423130035,-0.002356167882680893,-0.020052334293723106,87425.44586911384,1402194.0,0.0013687168929569552,0.0005484466787004422,0.000820270214256513,1435.2036847492323,0.39852213426063093,0.601477865739369,81.525076765609,0.9800673525709682,0.01993264742903184,53.77482088024565,0.6400152118618139,0.3599847881381861
1025507328,0.3240004777908325,688.328,221.97072410104283,-12.69249264845252,-0.191111271338888,0.08012554049491882,-0.0020545830484479666,-0.01981784775853157,87335.5916653496,1403706.0,0.0013687917791261263,0.0005485226527801077,0.0008202691263460187,1435.282208588957,0.3985562407765999,0.6014437592234,81.52351738241309,0.9800877336010593,0.019912266398940805,53.76482617586912,0.6399185240638515,0.36008147593614853
1026555904,0.3232199549674988,710.981,226.18277321859892,-14.708905006775632,-0.20286134668600514,0.08775109797716141,-0.0029119043610990047,-0.019645843654870987,87598.74445326354,1405194.0,0.001368843133164621,0.0005485848338172921,0.0008202582993473291,1435.3360572012257,0.3985877823936524,0.6014122176063474,81.53217568947906,0.9800967235451734,0.01990327645482658,53.749744637385085,0.6398410818167,0.36015891818330004
1027604480,0.3237408399581909,737.859,241.4984221853665,-13.4243342789039,-0.19948470343868296,0.08534248918294907,-0.0014891278697177768,-0.019628457725048065,87349.81172231212,1406647.0,0.0013688603226019412,0.0005486157475685587,0.0008202445750333825,1435.354081632653,0.39860734217298444,0.6013926578270156,81.5295918367347,0.980065366774829,0.01993463322517105,53.737755102040815,0.6396012051054196,0.3603987948945804
1028653056,0.32250529527664185,752.33,246.14092754625273,-12.999454293936491,-0.21663918358920614,0.08847406506538391,-0.0026159852277487516,-0.019506841897964478,87273.12202012718,1408209.0,0.0013689834408074709,0.0005486670133413768,0.0008203164274660941,1435.4831804281346,0.398610850137711,0.6013891498622889,81.53516819571865,0.9800505368814595,0.019949463118540588,53.72579001019368,0.639313276106477,0.3606867238935229
1029701632,0.32259389758110046,717.771,234.2417428050495,-11.299361919678748,-0.19342254760020433,0.09090465307235718,-0.0025277025997638702,-0.01955614984035492,87343.08619269358,1409680.0,0.0013690179331482307,0.0005487084631521687,0.0008203094699960619,1435.5193482688392,0.3986327559580775,0.6013672440419224,81.5397148676171,0.980070852017018,0.019929147982981992,53.716904276985744,0.639341130883015,0.360658869116985
1030750208,0.3234303295612335,773.693,251.54470979796722,-13.084433807475492,-0.19928392667888198,0.0780695229768753,-0.0023764409124851227,-0.019823327660560608,87539.79378215282,1411098.0,0.001369000936451909,0.0005486867677643971,0.0008203141686875119,1435.501525940997,0.3986239595589621,0.6013760404410378,81.5381485249237,0.9800784096446711,0.019921590355328908,53.70091556459817,0.6392529217762646,0.3607470782237354
1031798784,0.32624688744544983,758.741,246.787261359266,-12.76469982505776,-0.20442667974560658,0.0816260576248169,-0.0022034915164113045,-0.020055219531059265,87440.28801277705,1412364.0,0.0013688366587569073,0.0005486050272375587,0.0008202316315193487,1435.3292682926829,0.3986129958835989,0.601387004116401,81.53353658536585,0.9800458624276053,0.019954137572394684,53.68089430894309,0.6392010745936847,0.3607989254063153
1032847360,0.3275890648365021,773.226,252.35709339584312,-13.302925797633828,-0.23304041899182376,0.07607917487621307,-0.002033657394349575,-0.020363345742225647,87346.62837246672,1413680.0,0.0013687211244844543,0.0005485195798922312,0.0008202015445922232,1435.208121827411,0.39858400887282724,0.6014159911271726,81.53502538071066,0.9800661204352931,0.019933879564706974,53.66700507614213,0.6391105151270922,0.36088948487290784
1033895936,0.32720673084259033,794.662,259.4036891647754,-13.594802878908114,-0.17639392157913197,0.07372505962848663,-0.0019534036982804537,-0.020425256341695786,87385.07307671323,1415017.0,0.0013686261360833902,0.00054841496156147,0.0008202111745219202,1435.108519269777,0.3985340143952702,0.6014659856047297,81.52738336713996,0.9800452211848104,0.01995477881518956,53.6501014198783,0.6388186701334048,0.36118132986659524
1034944512,0.3273715376853943,793.456,261.36579324390345,-13.130736316230148,-0.15204139877416192,0.0782570093870163,-0.002237063366919756,-0.020461002364754677,87460.82224362517,1416363.0,0.0013685400362797421,0.000548327947460047,0.000820212088819695,1435.018237082067,0.3984953040407686,0.6015046959592314,81.52178318135765,0.9800254451915021,0.019974554808497906,53.63525835866261,0.6385611186789792,0.3614388813210208
1035993088,0.32758957147598267,808.647,262.3640492067328,-15.196538497377187,-0.20332648013333215,0.08394356071949005,-0.00260454835370183,-0.0206313394010067,87263.4335973365,1417687.0,0.0013684328751042787,0.0005482459357875561,0.0008201869393167226,1434.9058704453441,0.3984665543751819,0.601533445624818,81.53137651821862,0.9799789274676909,0.020021072532309208,53.621457489878544,0.6383196600568345,0.3616803399431655
1037041664,0.32709652185440063,835.83,278.8147932167635,-13.735084530111402,-0.1502643792858433,0.07796286046504974,-0.0017017151694744825,-0.02055792324244976,84242.77912847648,1419084.0,0.001368396323178005,0.0005481370900832003,0.0008202592330948046,1434.8675429726998,0.3983980428555076,0.6016019571444923,81.50960566228514,0.9799654671433218,0.0200345328566783,53.622851365015165,0.6380786897231066,0.36192131027689334
1038090240,0.32452505826950073,749.943,244.36007528098673,-13.580154287276644,-0.1974200329205003,0.08549688756465912,-0.0017060581594705582,-0.020348208025097847,87314.61521620353,1420538.0,0.001368414753615254,0.0005481016756308199,0.0008203130779844342,1434.8868686868686,0.39836937185783355,0.6016306281421663,81.50404040404041,0.9799458316369036,0.020054168363096325,53.6030303030303,0.6378500897394291,0.36214991026057086
1039138816,0.32249778509140015,748.31,244.5171802701503,-13.388042552325874,-0.15574511395344476,0.08631795644760132,-0.0017537003150209785,-0.020093262195587158,87406.05039237409,1422037.0,0.0013684764519469167,0.0005481106000759767,0.00082036585187094,1434.9515640766901,0.3983605158438916,0.6016394841561084,81.50857719475277,0.9799426009148144,0.02005739908518552,53.590312815338045,0.6376740701071455,0.3623259298928545
1040187392,0.3257543444633484,714.066,233.26243615627288,-12.441832385525107,-0.16985415050183428,0.08190880715847015,-0.0020169569179415703,-0.020346220582723618,87618.01783332536,1423363.0,0.0013683717097005537,0.0005480618246140018,0.0008203098850865518,1434.8417338709678,0.39835730307993306,0.601642696920067,81.48689516129032,0.9799628200671181,0.020037179932881902,53.57661290322581,0.6375352857622795,0.3624647142377206
1041235968,0.32624906301498413,714.969,232.63213387138396,-13.706767504342018,-0.21269646596706435,0.08427301794290543,-0.0017197475535795093,-0.0206984281539917,87423.33441482951,1424799.0,0.0013683728220959806,0.000548086137569923,0.0008202866845260574,1434.842900302115,0.39837691032562306,0.6016230896743769,81.50050352467271,0.9799723979766279,0.020027602023371928,53.5840886203424,0.6374215444512745,0.3625784555487255
